ID,Binding Affinity,Tanimoto Similarity,Centroid Distance
056,-8.0,0.05504587155963303,0.27458709080453164
0XU,-7.1,0.08130081300813008,0.42174303026410304
17H,-8.0,0.24,0.18872982810124883
17W,-7.2,0.02654867256637168,0.23271512904472758
198,-7.3,0.05426356589147287,0.09866665966863031
2MI,-5.9,0.060240963855421686,2.230682437566197
30Z,-7.8,0.0625,0.9200906030675136
3B6,-6.3,0.05785123966942149,1.0967775035707499
3E0,-8.2,0.08333333333333333,0.22715853018342977
3XV,-6.7,0.1111111111111111,1.705763989849826
4HY,-5.1,0.05454545454545454,0.4510891059871244
4Z2,-7.0,0.12903225806451613,1.3458727045880432
51K,-8.5,0.03968253968253968,0.3579732944886162
51Y,-7.8,0.14893617021276595,0.07601532207976021
5CT,-4.9,0.02040816326530612,0.3685864690431108
5QH,-7.3,0.07462686567164178,0.5847802878447602
5QJ,-5.5,0.08695652173913043,2.3711472082716276
5QK,-8.7,0.06666666666666667,0.5469394891528887
5QL,-7.6,0.13076923076923078,0.9023714861574224
6L8,-7.4,0.044444444444444446,0.36395165722764394
6ZV,5.4,0.0718954248366013,2.780319552657947
77T,-7.7,0.12631578947368421,0.2281097035462557
77U,-7.6,0.12903225806451613,0.14809161554105058
81X,-7.0,0.044642857142857144,0.6406368995767365
84W,-7.8,0.043795620437956206,0.13987057698108035
85E,-1.0,0.03296703296703297,0.4698557203895751
85K,0.7,0.04945054945054945,0.21258298846302967
8NH,-8.2,0.1262135922330097,0.17951733311048662
97L,-1.7,0.03428571428571429,0.3489823337038862
97X,-0.5,0.04964539007092199,0.6927008251393684
9FG,-7.3,0.061855670103092786,0.35397334030627475
AA8,-5.6,0.025806451612903226,2.304478516220552
ACE,-2.5,0.031746031746031744,3.665590248256994
ACT,-3.0,0.046875,5.280429432344407
ADN,-7.6,0.09803921568627451,0.24500120908050893
AV6,-10.0,0.061946902654867256,0.46433329356765546
B5R,-7.3,0.05511811023622047,1.434317670791418
B66,-6.7,0.05384615384615385,1.3243892752129778
B67,-6.2,0.05185185185185185,0.2291428601977494
B68,-6.1,0.05970149253731343,0.6608128848214081
BHM,-7.2,0.0660377358490566,0.17195803060603596
BME,-2.3,0.014925373134328358,1.5221620709570094
